avg_size,edge_collisions,entropy_loss,episodes,policy_entropy,policy_loss,reward_rate,self_collisions,steps,t,value_loss
13.021484375,0.0,-0.0700363740324974,4297756,0.059260763227939606,-0.1240466833114624,20.2890625,0.005859375,109363200,7654.575191259384,0.35506996512413025
11.95703125,0.001953125,-0.07059182971715927,4298208,0.06992560625076294,-0.14587365090847015,21.265625,0.001953125,109414400,7657.9152908325195,0.3658974766731262
12.71484375,0.00390625,-0.07387044280767441,4298601,0.08281133323907852,-0.07540173828601837,19.8984375,0.005859375,109465600,7661.729500770569,0.3634139895439148
13.021484375,0.0,-0.077152781188488,4298999,0.06693717837333679,-0.08098607510328293,16.96875,0.0078125,109516800,7665.058620452881,0.34806162118911743
12.6328125,0.00390625,-0.07717367261648178,4299420,0.07173927128314972,-0.17746470868587494,21.0703125,0.001953125,109568000,7668.882224321365,0.36247044801712036
13.107421875,0.001953125,-0.07621991634368896,4299814,0.07945146411657333,-0.08343442529439926,22.6328125,0.0,109619200,7672.2154133319855,0.35097330808639526
12.5,0.00390625,-0.0798741951584816,4300240,0.07655275613069534,-0.14111749827861786,23.21875,0.00390625,109670400,7676.034552335739,0.3498849868774414
13.482421875,0.0078125,-0.08209951221942902,4300606,0.08822181820869446,-0.13124382495880127,19.5078125,0.005859375,109721600,7679.380234003067,0.36272794008255005
13.095703125,0.005859375,-0.08357483148574829,4301006,0.09001751244068146,-0.10769280046224594,21.4609375,0.00390625,109772800,7683.228573799133,0.3431178331375122
13.04296875,0.0,-0.07763339579105377,4301419,0.07410143315792084,-0.18068909645080566,24.1953125,0.009765625,109824000,7686.592738866806,0.3538927733898163
12.541015625,0.001953125,-0.07779520004987717,4301813,0.07655096054077148,-0.0887686237692833,17.9453125,0.00390625,109875200,7690.433571100235,0.3533690571784973
12.384765625,0.0,-0.07687249034643173,4302230,0.0969056785106659,-0.11744809150695801,16.578125,0.0,109926400,7693.785141706467,0.35321301221847534
12.033203125,0.001953125,-0.0741988942027092,4302653,0.07429157942533493,-0.07980471104383469,21.65625,0.001953125,109977600,7697.618769168854,0.36258286237716675
11.95703125,0.00390625,-0.07263171672821045,4303091,0.07051335275173187,-0.1921500265598297,21.65625,0.0078125,110028800,7700.960475444794,0.35926833748817444
12.455078125,0.0078125,-0.07310585677623749,4303494,0.08135171234607697,-0.08046330511569977,16.1875,0.0078125,110080000,7704.779683589935,0.366982102394104
12.66796875,0.00390625,-0.07706951349973679,4303897,0.07049857079982758,-0.2087123841047287,24.1953125,0.009765625,110131200,7708.122419595718,0.3525831997394562
